Year,GISTEMP ,SL
1880,-25,-65.2
1881,-20,-61.5
1882,-23,-74
1883,-24,-72.7
1884,-30,-61.8
1885,-30,-64.2
1886,-25,-58.5
1887,-35,-61.8
1888,-26,-65
1889,-15,-59.2
1890,-37,-59.5
1891,-28,-58.9
1892,-32,-55.3
1893,-32,-49.9
1894,-33,-57.3
1895,-27,-45.5
1896,-17,-51.1
1897,-12,-47.3
1898,-25,-42.8
1899,-17,-38.3
1900,-10,-46.8
1901,-16,-50.5
1902,-27,-48.3
1903,-31,-41.1
1904,-34,-43.8
1905,-25,-47.8
1906,-20,-41.6
1907,-39,-44
1908,-34,-46.6
1909,-35,-42.4
1910,-34,-44.7
1911,-34,-36.5
1912,-34,-39.7
1913,-32,-38.5
1914,-15,-30.3
1915,-9,-23.9
1916,-30,-32.6
1917,-39,-36.9
1918,-32,-33.9
1919,-20,-31.9
1920,-19,-32.4
1921,-13,-34
1922,-24,-35.2
1923,-20,-32.1
1924,-21,-39.6
1925,-16,-41
1926,-1,-35.5
1927,-13,-33.1
1928,-11,-33.9
1929,-25,-36.8
1930,-7,-29.2
1931,-1,-29.2
1932,-6,-24.3
1933,-17,-22.5
1934,-5,-28.7
1935,-11,-20.3
1936,-4,-20.6
1937,8,-17.3
1938,11,-12.2
1939,3,-11.8
1940,5,-16.5
1941,11,-1.5
1942,3,-0.4
1943,10,-2.8
1944,20,-4.7
1945,7,-2.1
1946,-4,3.7
1947,1,4
1948,-4,10
1949,-6,9.6
1950,-15,14.5
1951,-4,25.1
1952,3,22.1
1953,11,24.6
1954,-10,23
1955,-10,26.1
1956,-17,20.9
1957,8,35.5
1958,8,38.6
1959,6,37.3
1960,-1,38.7
1961,8,43
1962,4,39.3
1963,8,39.6
1964,-21,33.9
1965,-11,45.2
1966,-3,38.7
1967,0,38.1
1968,-4,39.3
1969,8,48.6
1970,3,46.4
1971,-10,54.4
1972,0,58.9
1973,14,58.5
1974,-8,66.7
1975,-5,65.5
1976,-16,62.9
1977,13,58.6
1978,2,63.9
1979,9,63.3
1980,18,68.5
1981,27,79.2
1982,5,72.8
1983,26,78.3
1984,9,77.6
1985,6,68
1986,13,67.1
1987,27,72.7
1988,31,74
1989,19,74.9
1990,38,81.2
1991,35,91.2
1992,13,93.7
1993,14,88.4
1994,24,91.6
1995,38,98.3
1996,30,102.4
1997,40,111.8
1998,57,105.4
1999,32,110.1
2000,33,113.7
2001,48,116
