""	"output_series_d18O"	"output_series_d13C"
-67	0.8091770284	1.3485146716
-66.9	0.6927521381	1.3497752878
-66.8	0.7365027631	1.3876234979
-66.7	0.6819451048	1.1777565087
-66.6	0.6481852428	1.2079798784
-66.5	0.5745108274	1.0581343478
-66.4	0.5287347776	1.228931314
-66.3	0.1884418411	1.437361314
-66.2	0.0689470922	1.4815339318
-66.1	0.3096153943	1.4728751686
-66	0.6071150001	2.0720073773
-65.9	0.4502503488	1.6609582858
-65.8	0.3793840441	1.3745495254
-65.7	0.3997398147	1.3672216224
-65.6	0.1607527349	1.1991060449
-65.5	0.2111985479	1.1690166146
-65.4	0.1178186139	1.0615303636
-65.3	0.1906639115	0.9508983674
-65.2	0.1155058942	1.0708691759
-65.1	0.1494569227	1.2083847195
-65	0.2502039138	1.2411336303
-64.9	0.172015828	1.2124990948
-64.8	0.305156393	1.2748860553
-64.7	0.1354357062	1.0664269981
-64.6	0.124216956	0.954198703
-64.5	0.1649905589	0.9744556339
-64.4	0.3268927626	1.0832772475
-64.3	0.2706922514	1.1841896127
-64.2	0.2447481455	1.2625932432
-64.1	0.1675262788	0.9970830288
-64	0.2658804425	1.0595151812
-63.9	0.202054175	1.0933649938
-63.8	0.292781944	1.2267827038
-63.7	0.1204362456	0.9978124824
-63.6	0.0387851674	0.8357436416
-63.5	0.0969965234	1.0343557504
-63.4	0.1329924637	0.9482344686
-63.3	0.2421386355	1.0103901945
-63.2	0.3135968037	0.9456030606
-63.1	0.3956034749	1.1506539344
-63	0.297064033	1.1426508677
-62.9	0.1487864806	1.00753532
-62.8	0.4786005912	1.1507747596
-62.7	0.4423937289	1.1434578049
-62.6	0.3801448994	1.0523361222
-62.5	0.4281520023	0.8724779413
-62.4	0.5645129591	0.8131394284
-62.3	0.6697062854	0.9611691602
-62.2	0.7168589739	1.1601857972
-62.1	0.2088378948	0.3731510688
-62	0.3229575884	0.6141587484
-61.9	0.504825869	0.9361839746
-61.8	0.5865027543	0.9327930847
-61.7	0.426138775	0.8021988341
-61.6	0.4526685066	0.9848871869
-61.5	0.483835677	1.0487324255
-61.4	0.2944557209	1.0526947437
-61.3	0.2418020609	0.7947709407
-61.2	0.5806379362	0.9311280715
-61.1	0.6922082538	1.3831684535
-61	0.7019599787	1.4774359163
-60.9	0.6558547586	1.4894567218
-60.8	0.685110624	1.5782082755
-60.7	0.7285631348	1.6172817694
-60.6	0.6970837814	1.492787619
-60.5	0.5801782975	1.3394318466
-60.4	0.5938185473	1.3676647965
-60.3	0.5793743477	1.5119012783
-60.2	0.7502184133	1.616280962
-60.1	0.6637836426	1.4795047532
-60	0.5465813858	1.2919607991
-59.9	0.5970148504	1.3705707839
-59.8	0.7391574563	1.5638858986
-59.7	0.6799709284	1.4378675852
-59.6	0.5780371623	1.3087342365
-59.5	0.8434985066	1.6738250961
-59.4	0.7796546575	1.6330176941
-59.3	0.5796400088	2.0284992513
-59.2	0.8213159877	2.0694586305
-59.1	0.8156046941	2.0142134199
-59	0.8120845885	2.2244799595
-58.9	0.7023045861	2.0447809457
-58.8	0.6622004632	1.9728462353
-58.7	0.5937841847	2.0672099847
-58.6	0.6916670275	2.16748042
-58.5	0.5060727193	2.0235324371
-58.4	0.6652984177	1.9966753311
-58.3	0.7050141567	2.0344298864
-58.2	0.6730859038	1.9867342546
-58.1	0.2691415043	1.9119170049
-58	0.2500506028	2.2002542446
-57.9	0.3864643698	2.267487089
-57.8	0.4061321095	2.3306400267
-57.7	0.2723752019	2.1207437199
